Program/Initiative,Year,Title,Artist,Partner,Site Location,Borough,Site Type,Project Type,Latitude,Longitude,Installation,Removal
Arterventions,2016,I Love the Bronx,Johnny Alamo (Clark Fly ID),Art Bridge + DOHMH,Henwood Pl. btwn Walton Ave. & Morris Ave.,Bronx,Step Street,Mural,40.847412,-73.909417,11/05/2016,10/05/2017
Barrier Beautification,2016,Destination,Frank Parga,New York Cares,South St. btwn Pike Slip & Clinton St.,Manhattan,Jersey Barriers,Mural,40.710166,-73.989288,10/26/2016,09/26/2017
Arterventions,2016,Paparazzi Dogs,Gillie and Marc Schattner,Village Alliance,Ruth Wittenberg Triangle on 6th Avenue between W 8th Street and W 9th Street,Manhattan,Triangle,Sculpture,40.733997,-73.999492,10/18/2016,09/17/2017
Special Projects,2016,We Call This Place Home,Chat Travieso and Sam Holleran,Hester Street Collaborative,South St. btwn Rutgers St. & Montgomery St.,Manhattan,Median,Sculpture,40.710203,-73.989342,10/15/2016,09/15/2017
Special Projects,2016,Hakoniwa,Nami Yamamoto,"NYC Department of Design & Construction, Myrtle Avenue Brooklyn Partnership, International Studio & Curatorial Program",Myrtle Ave. btwn Grand Ave. & Emerson Pl.,Brooklyn,Fence,Intervention,40.693767,-73.963161,09/16/2016,08/16/2017
Arterventions,2016,Fancy Animal Carnival,Hung Yi,Garment District Alliance,Broadway btwn 36th St. & 41st St.,Manhattan,Plaza,Sculpture,40.751699,-73.987594,09/14/2016,04/01/2017
Arterventions,2016,Best of Brownsville,Brownsville Builders,Center for Court Innovation,Livonia Ave. & Rockaway Ave.,Brooklyn,Sidewalk,Sculpture,40.662541,-73.908846,09/09/2016,12/01/2016
Community Commissions,2016,Dubbed in Flight,Kathleena Howie (Lady K Fever),Bronx Museum of the Arts,165th St. & Carroll Pl.,Bronx,Step Street,Mural,40.830544,-73.919445,08/21/2016,07/28/2017
Arterventions,2016,Ascension,Jordan Baker-Caldwell,HYHK,W 36th St. & 9th Ave.,Manhattan,Sidewalk,Sculpture,40.754713,-73.995374,08/09/2016,07/09/2017
Arterventions,2016,Forged Worlds,United Photo Industries,United Photo Industries,Manhattan Bridge Archway at Anchorage Pl. and Water St.,Brooklyn,Fence,Vinyl,40.703161,-73.987882,07/28/2016,06/26/2017
Special Projects,2016,Big City of Dreams,Andrea von Bujdoss (Queen Andrea),NYC DOT Art + Bike Share,N 4th St. & Roebling,Brooklyn,Asphalt,Asphalt Mural,40.71467,-73.957223,06/15/2016,05/15/2017
Arterventions,2016,Spread Love is the Brooklyn Way,Boa Mistura,"Open Source Gallery, Inc.",3rd Ave. btwn 17th St. & Prospect Ave.,Brooklyn,Bridge Wall,Mural,40.666518,-73.994907,06/14/2016,05/23/2017
Arterventions,2016,"Fish Spine, Hummingbird, Palenque, Birdhouse",Jorge L. Rodriguez,Marcus Garvey Park Alliance,"123rd St., 119th St. & Lenox Ave., E 106th St. & 3rd Ave., E. 106th St. & Lexington Ave.",Manhattan,Median,Sculpture,40.792259,-73.946282,06/09/2016,05/09/2017
Special Projects,2016,"Into the Wild, Brooklyn",Nelson Rivas (Cekis),"Atlantic Avenue BID, Brooklyn Bridge Park",Atlantic Ave. & Columbia St.,Brooklyn,Bridge Wall,Mural,40.69151,-73.999544,06/01/2016,05/01/2017
Community Commissions,2016,Seasons of Kew Gardens,Carla Reyes,"Kew Gardens Improvement Association, Inc.",80th Rd. btwn Austin St. & Grenfell St.,Queens,Bridge Wall,Mural,40.711786,-73.833295,05/01/2016,11/17/2016
Special Projects,2016,Our Treasures are Within,Joel Bergner and students from St. Gregory the Great School,NYC DOT Art + St. Gregory the Great School,88th Rd. & Cross Island Pkwy,Queens,Bridge Wall,Mural,40.72909,-73.724019,04/29/2016,03/29/2017
Arterventions,2016,Paparazzi Dogs,Gillie and Marc Schattner,DUMBO BID,Pearl Street Triangle on Pearl Street between Water Street and Front Street,Brooklyn,Triangle,Sculpture,40.702992,-73.987702,04/28/2016,10/21/2016
Arterventions,2016,Liturgy for Lenox Lounge,Micheal Kelly Williams,FLUX Art Fair and Marcus Garvey Park Alliance,Lenox Ave. (Malcom X Blvd.) & 124th St.,Manhattan,Median,Sculpture,40.807049,-73.945823,04/28/2016,03/28/2017
Barrier Beautification,2016,Crushing It,Nancy Ahn,New York Cares,Columbia St. btwn Atlantic Ave. & Congress St.,Brooklyn,Concrete Barriers,Mural,40.690528,-74.000096,04/16/2016,03/16/2017
Barrier Beautification,2016,Cats in Repose,Sarah Nicole Phillips,New York Cares,161st St. & Gerard Ave.,Bronx,Concrete Barriers,Mural,40.82746,-73.924998,04/16/2016,03/16/2017
Arterventions,2016,Doctors Without Borders,Williams Daniels,United Photo Industries,Manhattan Bridge Archway at Anchorage Pl. and Water St.,Brooklyn,Bridge Archway,Vinyl,40.703161,-73.987882,04/05/2016,05/02/2016
Arterventions,2016,This City of Jazz,Tammy Nguyen,FLUX Art Fair and Marcus Garvey Park Alliance,Marcus Garvey Park at W120th St. and Mt Morris Park W,Manhattan,Pedestrian Street Light Pole,Signage,40.804515,-73.943795,04/02/2016,08/01/2016
Arterventions,2016,Disorder: 9 Uneven Angles,Bernar Venet,Union Square Partnership and Paul Kasmin Gallery,E 17th St. & Broadway,Manhattan,Plaza,Sculpture,40.737109,-73.990351,03/06/2016,06/01/2016
Arterventions,2016,Mass Medium,Harry Gordon,Garment District Alliance,Broadway btwn 36th St. & 41st St.,Manhattan,Plaza,Sculpture,40.751699,-73.987594,01/11/2016,05/06/2016
Arterventions,2015,HeartSeat,Stereotank,Fordham Road BID,East Fordham Rd. & Webster Ave.,Bronx,Sidewalk,Sculpture,40.861844,-73.891326,11/23/2015,10/23/2016
Arterventions,2015,Nova,SOFTlab,Flatiron NoMad Partnership,Flatiron Plaza North on Broadway between 23rd Street and 24th Street,Manhattan,Plaza,Sculpture,40.741632,-73.989289,11/16/2015,01/06/2016
Community Commissions,2015,Intersections,Miguel Del Real,Arts Gowanus,4th Ave. & Prospect Ave.,Brooklyn,Bridge Wall,Mural,40.665318,-73.992927,10/15/2015,09/15/2016
Arterventions,2015,South Bronx Timeline,Andrew Antonaccio and Fillio Galvez (2Alas),"East Harlem Council for Community Improvement, Inc.",138th St. Bridge at Grand Concourse,Bronx,Bridge Wall,Mural,40.813192,-73.930301,10/11/2015,09/11/2016
Barrier Beautification,2015,Jazz City,Jessie Contour,New York Cares,Vernon Blvd. btwn 31st Ave. & 40th Ave.,Queens,Jersey Barriers,Mural,40.76894,-73.935866,10/09/2015,09/09/2016
Arterventions,2015,Temptation and Wandering Mountain,Wendell Castle,Museum of Arts & Design,2 Columbus Circle,Manhattan,Sidewalk,Sculpture,40.76761,-73.982038,09/26/2015,03/08/2015
Community Commissions,2015,NEST,Kirk Finkel,Freshkills Park Alliance,St. George Ferry Terminal,Staten Island,Ferry Terminal,Sculpture,40.644174,-74.07255,09/17/2015,08/17/2016
Community Commissions,2015,KHCC Grows,Laura Alvarez,Kingsbridge Heights Community Center (KHCC),231st St. & Kingsbridge Terrace,Bronx,Step Street,Mural,40.876065,-73.901355,09/01/2015,08/01/2016
Community Commissions,2015,Harlem Sunrise,Gera Lozano,Creative Art Works + NHEMA,125th St. & Park Ave.,Manhattan,Comfort Station,Mural,40.804944,-73.93925,08/26/2015,07/26/2016
Community Commissions,2015,Pedestrian Patterns,Mark Salinas,LIC Partnership + 7 Train Murals,Thomson Ave. btwn 44th Dr. & Skillman Ave.,Queens,Bridge Wall,Mural,40.745577,-73.939242,08/15/2015,06/24/2016
Arterventions,2015,Everything,Hanna Liden,Art Production Fund,Ruth Wittenberg Triangle on 6th Avenue between W 8th Street and W 9th Street,Manhattan,Triangle,Sculpture,40.733997,-73.999492,07/21/2015,10/04/2015
Arterventions,2015,Fractured Spectrum,Publicolor,Publicolor,East 177th St. btwnn Bronx River Pkwy & Bronx River Ave.,Bronx,Bridge Wall,Mural,40.837216,-73.874627,06/01/2015,05/01/2016
Special Projects,2015,191st Street Tunnel Beautification Project,Various artists,Northern Manhattan Arts Alliance,"191st St. Subway Tunnel, W 191st St. & Broadway",Manhattan,Tunnel,Mural,40.856493,-73.93273,05/18/2015,04/18/2016
Arterventions,2015,The Flatbush Trees Project: This Land is Your Land,David Eppley,PLG Arts,Flatbush Ave. at  Empire Ave. & Ocean Ave.,Brooklyn,Sidewalk,Vinyl,40.66292,-73.96243,05/11/2015,04/11/2016
Barrier Beautification,2015,Alphabet City,Elizabeth Hamby,New York Cares,Flushing Ave. btwn Williamsburg St. W & Washington Ave.,Brooklyn,Concrete Barriers,Mural,40.697714,-73.965037,04/18/2015,03/18/2016
Barrier Beautification,2015,Rhythmic Flow,Kati Vilim,New York Cares,Williamsburg St. West btwn Kent Ave. & Flushing Ave.,Brooklyn,Concrete Barriers,Mural,40.699712,-73.962424,04/18/2015,03/18/2016
Arterventions,2015,Groundswell Community Mural Project,Groundswell Community Mural Project,Groundswell Community Mural Project,Fort Hamilton Pkwy btwn 61st St. & 62nd St.,Brooklyn,Bridge Wall,Mural,40.632593,-74.006327,04/16/2015,04/25/2016
Community Commissions,2015,Shipwreck,Montserrat Daubon,N/A,155th St. & Overlook Terrace,Manhattan,Sidewalk,Sculpture,40.834277,-73.949099,04/01/2015,11/14/2016
Community Commissions,2015,Greenery,Ruth Hofheimer,Arts Gowanus,4th Ave. & Prospect Ave.,Brooklyn,Median,Sculpture,40.665584,-73.992746,02/23/2015,01/23/2016
Arterventions,2014,New York Light,INABA,Flatiron NoMad Partnership,Flatiron Plaza North on Broadway between 23rd Street and 24th Street,Manhattan,Plaza,Sculpture,40.741632,-73.989289,11/24/2014,01/05/2015
Community Commissions,2014,Ringing Waves,Asae Soya,ISCP,45th St. btwn 10th Ave. & 11th Ave.,Manhattan,Bridge Wall,Mural,40.761841,-73.994772,11/24/2014,10/24/2015
Arterventions,2014,Bridge of Flowers,Scott Sturgill,Arts Gowanus,Union Street Bridge between Nevins St. and Bond St.,Brooklyn,Fence,Intervention,40.67951,-73.988386,10/14/2014,11/01/2014
Community Commissions,2014,Aqua Hung,Xavier Figueroa,BRAC,E Tremont Ave. & Boston Rd.,Bronx,Plaza,Sculpture,40.840116,-73.880239,10/03/2014,09/03/2015
Barrier Beautification,2014,"Composition in Blue, Yellow and Red: Homage to Piet Mondrian",Eirini Linardaki,New York Cares,37th Ave. & 69th St.,Queens,Barrier,Mural,40.748572,-73.895471,10/03/2014,09/03/2015
Special Projects,2014,Swish Swash,Andrea Bergart,Queens Council on the Arts,Metropolitan Ave. & Fresh Pond Rd.,Queens,Fence,Intervention,40.712706,-73.900643,09/26/2014,08/26/2015
Arterventions,2014,Patriot,Steed Taylor,Visual AIDS,187th St. btwn Fort Washington Ave. & Overlook Terr.,Manhattan,Step Street,Mural,40.854952,-73.936079,09/14/2014,08/14/2015
Arterventions,2014,Sonic Forest,Chris Janney,AIA,LaGuardia Pl. btwn W 3rd St. & Bleeker St.,Manhattan,Sidewalk,Interactive,40.7281,-73.998973,09/05/2014,09/12/2014
Arterventions,2014,Personal Mythologies,United Photo Industries,United Photo Industries,Manhattan Bridge Archway at Anchorage Pl. and Water St.,Brooklyn,Fence,Vinyl,40.703161,-73.987882,08/26/2014,08/26/2015
Community Commissions,2014,Dandelions,Carin Mincemoyer,Columbus Amsterdam BID,97th St. btwn Columbus Ave. & Amsterdam Ave.,Manhattan,Sidewalk,Sculpture,40.79412,-73.968497,08/22/2014,07/22/2015
Art Display Case Exhibits,2014,Madeline,NYHS,NYHS,"Park Ave. & 21st St., 46th St., 55th St.",Manhattan,Sidewalk,Art Display Cases,40.738963,-73.987204,08/01/2014,08/18/2014
Arterventions,2014,Las Bicicletas,Gilberto Aceves Navarro,Fundacion Aceves Navarro,"Bike approach leading to the Manhattan Bridge, Jay Street and Sands Street, Jay Street and York Street, BAM Park at Lafayette Avenue, and Atlantic Avenue and Columbia Street",Manhattan/Brooklyn,Sidewalk,Sculpture,40.715878,-73.996099,07/13/2014,09/30/2014
Community Commissions,2014,Las Mariposas Amarillas,Lina Montoya,El Centro del Inmigrante,Jewett Ave. & Richmon Terrace,Staten Island,Fence,Intervention,40.637368,-74.12862,07/02/2014,06/04/2015
Arterventions,2014,The H in Harlem,Bentley Meeker,Bentley Meeker Lighting,Harlem Viaduct at W 125th St. & 12th Ave.,Manhattan,Bridge Archway,Sculpture,40.818015,-73.960415,06/23/2014,09/30/2014
Community Commissions,2014,Modern Tapestry,Kim Sillen,Lower East Side Partnership,Ludlow St. & Canal St. & Division St.,Manhattan,Asphalt,Asphalt Mural,40.714589,-73.991047,06/20/2014,05/20/2015
Community Commissions,2014,Trust Your Vision,Gilf!,DUMBO BID,Front St. btwn Adams St. & Pearl St.,Brooklyn,Fence,Intervention,40.702469,-73.987982,06/20/2014,05/20/2015
Community Commissions,2014,"Eastbound, Westbound",John Chadwell,"Kew Gardens Improvement Association, inc.",82nd Ave. btwn Grenfel St. & Austin St.,Queens,Barrier,Mural,40.710697,-73.831994,06/07/2014,05/07/2015
Community Commissions,2014,Birds,Mohamed Sharkawy,ISCP,Queens Plaza S. & Vernon Blvd.,Queens,Fence,Intervention,40.75434,-73.949355,05/28/2014,04/28/2015
Arterventions,2014,The Sentinels,Chakaia Booker,Garment District Alliance,Broadway btwn 36th St. & 39th St.,Manhattan,Plaza,Sculpture,40.751699,-73.987594,05/27/2014,11/05/2014
Art Display Case Exhibits,2014,Residents of New York,MORE Art,MORE Art,LaGuardia Place btwn W 3rd St. & Bleeker St.,Manhattan,Sidewalk,Art Display Cases,40.7281,-73.998973,05/19/2014,08/19/2014
Special Projects,2014,Guastavino Tile Pattern # 8,Pure and Applied,New York Cares,1st Ave. btwn 59th St. & 60th St.,Manhattan,Barrier,Mural,40.759662,-73.961957,05/17/2014,04/17/2015
Community Commissions,2014,Sky Feather,Petros Chrisostomou,ISCP,Lenox Ave. (Malcom X Blvd.) and 124th St.,Manhattan,Median,Sculpture,40.807049,-73.945823,05/14/2014,04/14/2015
Special Projects,2014,From a Different Perspective,Herb Smith,NYC DOT Bike Share,E 4th St. & 2nd Ave.,Manhattan,Asphalt,Asphalt Mural,40.726253,-73.989605,05/12/2014,04/12/2015
Art Display Case Exhibits,2014,Art & Soul of the Southeast Queens Community,JCAL,Jamaica Center BID,Parsons Blvd. & Jamaica Ave.,Queens,Sidewalk,Art Display Cases,40.70339,-73.800162,04/22/2014,10/22/2014
Barrier Beautification,2014,Singing in the Rain,John Locke,New York Cares,E 36th St. & 9th Ave.,Manhattan,Barrier,Mural,40.754671,-73.995318,04/12/2014,03/11/2015
Barrier Beautification,2014,Spring Wind,Mayuko Fujino,New York Cares,180th St. & Devoe Ave.,Bronx,Barrier,Mural,40.842052,-73.875985,04/12/2014,03/11/2015
Arterventions,2014,The Faberge Big Egg Hunt,Various artists,Elephant Family and Studio in a School,Various sites citywide,All boroughs,Plaza,Sculpture,40.644174,-74.07255,03/31/2014,04/18/2014
Art Display Case Exhibits,2013,New York (Outer Borough Stories),United Photos Industries,United Photo Industries,"Water St. btwn Wall St. & Pine St., and Gouveneur Ln. btwn Water St. & Front St.",Manhattan,Sidewalk,Art Display Cases,40.705409,-74.007026,12/19/2013,03/19/2014
Community Commissions,2013,Silent Lights,Urban Matter Inc.,Mrytle Avenue  Improvement Distrcit,Navy St. & Park Ave.,Brooklyn,Bridge Archway,Installation,40.696458,-73.980332,11/15/2013,10/15/2014
Art Display Case Exhibits,2013,There is No US Without U,VA NYHHS Veterans,Downtown Brooklyn Partnership,Myrtle Ave. & 71st Ave.,Queens,Plaza,Art Display Cases,40.702049,-73.880222,11/13/2013,04/01/2014
Arterventions,2013,What We Came For,Cara Lynch,Historic House Trust,165th St. & Carroll Pl.,Bronx,Step Street,Mural,40.830546,-73.919442,10/26/2013,09/26/2014
