Program/Initiative,Year,Title,Artist,Partner,Site Location,Borough,Site Type,Project Type,Latitude,Longitude,Installation,Removal
Barrier Beautification,2010,City Speed,Jenny Hung,"New York Cares, NYC Mayor's Community Affairs Unit",Hutchinson River Pkwy & Edwards Ave.,Bronx,Barrier,Mural,40.839324,-73.838203,11/20/2010,10/20/2011
Barrier Beautification,2010,Face to Face,Debra Hampton,"New York Cares, NYC Mayor's Community Affairs Unit",Furman Ave. btwn Montague St. & Joralemon St.,Brooklyn,Barrier,Mural,40.694814,-73.998847,11/20/2010,10/20/2011
Community Commissions,2010,Foot Traffic,Crystal Gregory,LinRoFORMA,Lincoln Rd. btwn Flatbush Ave. & Ocean Ave.,Brooklyn,Fence,Intervention,40.660729,-73.961869,10/28/2010,10/28/2011
Special Projects,2010,Secret Gardens,Richard Pasquarelli,Downtown Alliance,Chambers St. btwn West St. & W Broadway,Manhattan,Fence,Intervention,40.716318,-74.010929,09/30/2010,07/22/2011
Arterventions,2010,Plastic Flowers,Simone Kaplan,Dumbo Arts Festival,Jay St. & Prospect St.,Brooklyn,Fence,Intervention,40.700616,-73.987194,09/25/2010,09/27/2019
Arterventions,2010,Endless Bridge,Various artists,Dumbo Arts Festival,Manhattan Bridge Archway at Anchorage Pl. and Water St.,Brooklyn,Bridge Archway,Projection,40.703161,-73.987882,09/25/2010,09/27/2019
Arterventions,2010,Sleeping Beauty,Kenjiro Kitade,West Harlem Arts Fund,Roosevelt Ave. & 39th Ave.,Queens,Triangle,Sculpture,40.749423,-73.867498,09/19/2010,08/19/2011
Community Commissions,2010,CHANGE,FIT Students of Urban Sound Studio,34th Street Partnership,W 31st St. btwn 9th Ave. & Dyer Ave.,Manhattan,Barrier,Mural,40.75187,-73.99859,09/17/2010,08/17/2011
Community Commissions,2010,ARTfarm,Various artists,Architecture for Humanity and Bronx Museum of the Arts,165th St. & Carroll Pl.,Bronx,Step Street,Intervention,40.830544,-73.919445,09/03/2010,08/03/2011
Special Projects,2010,Green Screen,Corinne Ulmann,Downtown Alliance,Thames St. btwn Trinity St. & Greenwich St.,Manhattan,Fence,Intervention,40.709205,-74.012588,08/20/2010,07/20/2011
Community Commissions,2010,Mall-terations,Various artists,Hester Street Collaborative,Allen St. btwn Houston St. & Rivington St.,Manhattan,Plaza,Mural/Sculpture,40.721659,-73.989127,08/15/2010,07/15/2011
Community Commissions,2010,Asphalt Tattoo,Paula Meijerink,Wanted Landscape LLC,Jay St. & Prospect St.,Brooklyn,Asphalt,Intervention,40.700616,-73.987194,07/10/2010,05/10/2011
Arterventions,2010,Sidewalk Catwalk,LF USA,Garment District Alliance,Broadway btwn 34th St. & 42nd St.,Manhattan,Plaza,Sculpture,40.749974,-73.988019,06/24/2010,10/03/2010
Arterventions,2010,Monumental Sculptures on Broadway,Manolo Valdes,Broadway Mall Association and Dept. of Parks and Rec,"Broadway & 79th St., 137th St.",Manhattan,Plaza,Sculpture,40.821397,-73.954117,06/20/2010,01/23/2011
Arterventions,2010,"Play Me, I'm Yours",Sing for Hope,Sing for Hope,St. George Ferry Terminal,Staten Island,Plaza,Interactive,40.644174,-74.07255,06/18/2010,07/07/2010
Barrier Beautification,2010,In the Bike Lane,Andrea Legge,"New York Cares, NYC Mayor's Community Affairs Unit",Fort Hamilton Pkwy btwn E 5th St. & Park Circle,Brooklyn,Barrier,Mural,40.650319,-73.974305,06/12/2010,05/12/2011
Special Projects,2010,"Cool Water, Hot Island",Molly Dilworth,Times Square Alliance,Broadway btwn 42nd St. & 47th St.,Manhattan,Asphalt,Asphalt Mural,40.755914,-73.986405,06/10/2010,12/11/2011
Arterventions,2010,Tree Museum,Katie Holten,NYC Department of Parks and Recreation,"Franz Siegel Park, Joyce Kilmer Park, Bergen Park, Moshoulu Parkway",Manhattan,Sidewalk,Intervention,40.823085,-73.925632,06/09/2010,10/09/2010
Arterventions,2010,Mobile Gardens,Tattfoo Tan,Council on the Arts and Humanities for Staten Island,Staten Island Ferry,Manhattan/Staten Island,Ferry Boat,Installation,40.672282,-74.045326,06/05/2010,07/02/2010
Community Commissions,2010,Maize Field,Christina Kelly,Boerum Hill Association,Bergen St. & Smith St.,Brooklyn,Sidewalk,Interactive,40.686737,-73.990374,05/24/2010,04/24/2011
Barrier Beautification,2010,NY Camo,Niko Courtelis,NYC Mayor’s Community Affairs Unit and Pratt Institute,Queens Blvd. btwn Jackson Ave. & Skillman Ave.,Queens,Barrier,Mural,40.748511,-73.936781,04/24/2010,03/24/2011
Barrier Beautification,2010,Moving Forward,Lucy Kalian,"NYC Mayor’s Community Affairs Unit, Brooklyn Greenway and Initiative and Brooklyn Navy Yard",Williamsburg St. West btwn Kent Ave. & Flushing Ave.,Brooklyn,Barrier,Mural,40.699712,-73.962424,04/24/2010,03/24/2011
Barrier Beautification,2010,Anchovies Along FDR Dr.,Brenda Zlamany,New York Cares and NYC Mayor’s Community Affairs Unit,FDR Service Rd. East btwn 25th St. & 27th St.,Manhattan,Barrier,Mural,40.737591,-73.973973,04/24/2010,03/24/2011
Barrier Beautification,2010,Food in Transit,Sage & Coombe Architects,"New York Cares, NYC Mayor’s Community Affairs Unit and Montefiore Monshulu Community Center",Baychester Ave. & Bartow Ave.,Bronx,Barrier,Mural,40.868733,-73.831643,04/24/2010,03/24/2011
Arterventions,2010,Safe Street,Ilona Garnet,Jamaica Center for Arts & Learning,Jamaica Ave. between 160th St. and Union Hall St.,Queens,Pedestrian Street Light Pole,Signage,40.702487,-73.803154,04/10/2010,10/10/2010
Arterventions,2010,Force of Forward,Various artists,Leo Kuelbs LLC,Manhattan Bridge Archway at Anchorage Pl. and Water St.,Brooklyn,Bridge Archway,Projection,40.703161,-73.987882,04/08/2010,04/10/2010
Special Projects,2010,Beyond the GardenWall/Garden City,Sage & Coombe Architects,Tully Construction and Port Authority of NY and NJ,Whitehall Ferry Terminal,Manhattan,Fence,Intervention,40.701095,-74.013012,04/01/2010,08/01/2010
Arterventions,2010,Event Horizon,Anthony Gromley,Madison Square Park Conservancy,Flatiron Plaza North on Broadway between 23rd Street and 24th Street,Manhattan,Plaza,Sculpture,40.741632,-73.989289,03/22/2010,08/15/2010
Community Commissions,2009,Dream Outside the Box,Animus Arts Collective,Actions Arts League,W. 97th St. btwn Amsterdam Ave. & Columbus Ave.,Manhattan,Sidewalk,Sculpture,40.794153,-73.968491,12/10/2009,11/10/2010
Community Commissions,2009,Flock to Living,John Kritzinger,Actions Arts League,Pearl St. & Frankfurt St.,Manhattan,Barrier,Mural,40.709501,-74.001664,12/01/2009,12/10/2010
Community Commissions,2009,Bridge that Binds,Joel Voisard,Transportation Alternatives Queens Committee,Pulaski Bridge btwn Jackson Ave. & McGuiness Blvd.,Queens,Barrier/Sidewalk,Mural/Interactive Installation,40.739189,-73.952654,11/19/2009,10/19/2010
Arterventions,2009,HALT!,Pavel Zustiak,Lower Manhattan Cultural Council,Whitehall Ferry Terminal,Manhattan,Ferry Terminal,Performance,40.701095,-74.013012,10/26/2009,10/30/2009
